unique_id,country,city,airport,phone_number,opening_time,closing_time,main_contact,state
137,Brazil,Itabira,Alfa Lima Hotel Tango Romeo Echo November Victor Delta India Papa Charlie Yankee Golf Zulu,988-0042,"error: invalid date ""08:00""",Purple,Lurette,ACTIVE
138,Argentina,El Bolsón,Kilo Foxtrot Bravo Oscar Charlie X-ray Mike Romeo Golf Delta Papa Whiskey Hotel Quebec,755-3077,"error: invalid date ""08:00""",Orange,Kora,ACTIVE
139,Canada,Melville,Romeo X-ray Echo Oscar Golf Zulu Charlie Mike Victor Tango Lima Juliett Whiskey Hotel Foxtrot Sierra,703-0398,"error: invalid date ""08:00""",Maroon,Jazmin,ACTIVE
140,China,Qujing,Tango Kilo X-ray Sierra Victor India Juliett Papa Golf Oscar Charlie,579-0857,"error: invalid date ""08:00""",Indigo,Marice,ACTIVE
141,China,Daqiao,November Victor Echo Sierra Kilo Whiskey Bravo Lima Alfa Mike Romeo Juliett Tango Golf,424-3143,"error: invalid date ""08:00""",Crimson,Nedda,ACTIVE
142,Peru,Curibaya,November Lima India Zulu Golf Whiskey Papa Quebec X-ray Oscar Delta Uniform Yankee Charlie Tango Kilo Foxtrot Victor,058-7150,"error: invalid date ""08:00""",Violet,Mandie,ACTIVE
143,Ireland,Milltown,Hotel November Kilo Yankee Zulu Tango Oscar Quebec Foxtrot Romeo Sierra Bravo Victor India Echo Uniform,862-7980,"error: invalid date ""08:00""",Fuscia,Codie,ACTIVE
144,Argentina,Loreto,Alfa Victor Lima India Tango Sierra X-ray Quebec Bravo Delta Juliett Foxtrot Papa Charlie,860-4446,"error: invalid date ""08:00""",Fuscia,Cairistiona,ACTIVE
145,Philippines,Calasgasan,Mike Delta Whiskey Quebec India Yankee Foxtrot November Papa Golf Charlie Zulu Oscar,946-2055,"error: invalid date ""08:00""",Aquamarine,Naoma,ACTIVE
146,China,Ganping,November Delta Uniform Tango Alfa Charlie Bravo Zulu Whiskey Golf Sierra Victor Kilo Oscar Juliett Mike Papa Quebec Yankee,134-6391,"error: invalid date ""08:00""",Mauv,Zitella,ACTIVE
147,China,Yajiang,Zulu Papa Yankee Juliett Mike Delta Whiskey Oscar Lima Quebec Victor,811-0102,"error: invalid date ""08:00""",Orange,Sella,ACTIVE
148,Brazil,Astorga,India Foxtrot Echo Hotel Quebec Victor Tango Uniform Delta Yankee Golf Alfa Lima X-ray Whiskey Bravo Papa,676-9467,"error: invalid date ""08:00""",Violet,Bernetta,ACTIVE
149,Dominican Republic,Pescadería,Lima Juliett Oscar Zulu Papa Sierra Quebec Alfa X-ray November Bravo Charlie Kilo Tango Whiskey Hotel Yankee,291-0118,"error: invalid date ""08:00""",Goldenrod,Daphne,ACTIVE
150,Tajikistan,Vahdat,Mike Charlie Alfa Victor Sierra Foxtrot Bravo Zulu Juliett Lima Echo Delta Oscar,485-9480,"error: invalid date ""08:00""",Khaki,Honey,ACTIVE
151,Brazil,Nerópolis,Alfa Lima Delta Yankee Whiskey Golf Echo Uniform Sierra Zulu Charlie India X-ray Papa Quebec Oscar Tango Mike,374-3103,"error: invalid date ""08:00""",Crimson,Roxanne,ACTIVE
152,Iran,Tākestān,Uniform Victor Yankee Sierra Charlie November Alfa Quebec Echo Foxtrot Golf Papa Mike Delta Bravo India Lima Oscar Hotel Romeo,195-8789,"error: invalid date ""08:00""",Fuscia,Basia,ACTIVE
153,Indonesia,Kadubera,Golf X-ray Sierra Whiskey Charlie India Mike Papa Juliett Bravo Uniform Quebec Romeo Oscar Hotel,911-7344,"error: invalid date ""08:00""",Pink,Isabella,ACTIVE
154,Peru,Tayabamba,Alfa Yankee India Hotel Charlie Tango Kilo Romeo Juliett Lima,441-9485,"error: invalid date ""08:00""",Pink,Retha,ACTIVE
155,Peru,Aco,Yankee India Golf Mike Whiskey Delta Echo Foxtrot Kilo Romeo,775-2939,"error: invalid date ""08:00""",Violet,Kikelia,ACTIVE
156,Sudan,Bārah,Alfa Oscar November Foxtrot Lima Bravo Charlie Papa Kilo Whiskey Hotel Tango Victor Golf Mike X-ray,315-7820,"error: invalid date ""08:00""",Fuscia,Stesha,ACTIVE
157,Portugal,Souto,Tango Quebec Hotel Oscar Sierra Papa Echo Alfa Bravo Charlie Juliett Mike November Victor Foxtrot Delta Golf Romeo Lima Zulu,936-3959,"error: invalid date ""08:00""",Blue,Justine,ACTIVE
158,Cambodia,Kampong Cham,X-ray Delta Bravo Juliett Zulu Yankee Mike Uniform Sierra Tango,796-2798,"error: invalid date ""08:00""",Goldenrod,Karrah,ACTIVE
159,Philippines,Liloan,November X-ray Romeo Sierra Victor Mike Quebec Bravo Lima Yankee Juliett Zulu Echo Golf Foxtrot Kilo Whiskey,371-2271,"error: invalid date ""08:00""",Red,Abbey,ACTIVE
160,Ukraine,Klenovyy,Echo Tango Whiskey Alfa Sierra India Uniform Mike Delta X-ray Romeo,231-5312,"error: invalid date ""08:00""",Crimson,Daisie,ACTIVE
161,Ukraine,Brylivka,India Oscar Foxtrot November Lima Alfa Mike Uniform Echo X-ray Bravo Whiskey Papa Victor Delta Juliett Quebec Charlie Yankee Sierra,600-3235,"error: invalid date ""08:00""",Violet,Loraine,ACTIVE
162,Morocco,Moulay Yacoub,Yankee November Juliett Whiskey India Uniform Sierra Tango Echo Lima Romeo Victor Oscar Mike Delta Hotel Zulu,338-1289,"error: invalid date ""08:00""",Mauv,Rubina,ACTIVE
163,Germany,Chemnitz,Tango Uniform Golf Foxtrot Quebec Victor Whiskey Romeo Yankee Hotel Oscar X-ray Kilo Sierra India Echo Alfa Bravo Papa Delta,540-1027,"error: invalid date ""08:00""",Fuscia,Mechelle,ACTIVE
164,Russia,Vyselki,Foxtrot Sierra Romeo Charlie Alfa Uniform November Oscar Bravo Lima Papa Juliett Delta Mike Echo Tango Victor Hotel India Zulu,468-1389,"error: invalid date ""08:00""",Red,Lian,ACTIVE
165,Gambia,Wassu,Yankee Oscar Sierra Papa Lima Romeo November Foxtrot Tango Quebec Golf Alfa India Bravo,763-1465,"error: invalid date ""08:00""",Aquamarine,Vivi,ACTIVE
166,Indonesia,Barajalan,Papa X-ray Kilo Foxtrot Uniform Romeo Mike Lima Golf Hotel Quebec November Echo Charlie Juliett Oscar Yankee Tango Bravo,031-4924,"error: invalid date ""08:00""",Pink,Saundra,ACTIVE
167,Albania,Kokaj,Sierra Oscar X-ray Alfa Uniform Echo Mike Victor Delta Papa Lima Hotel Bravo,909-3647,"error: invalid date ""08:00""",Green,Cassie,ACTIVE
168,Angola,Longonjo,Kilo Mike Echo Sierra Golf Yankee Foxtrot Juliett Delta Romeo Uniform Tango Zulu Bravo Lima November,428-2487,"error: invalid date ""08:00""",Violet,Jaime,ACTIVE
169,Macedonia,Pirok,Foxtrot Echo Victor Alfa November Kilo Juliett Tango Bravo Oscar Whiskey Mike Golf Romeo Hotel Uniform Papa Quebec Charlie,606-4921,"error: invalid date ""08:00""",Pink,Mariana,ACTIVE
170,Indonesia,Cilangkap,Foxtrot Kilo Yankee Echo Uniform Hotel Alfa Tango India Zulu,975-0162,"error: invalid date ""08:00""",Mauv,Erena,ACTIVE
171,Indonesia,Sempol,Oscar Echo Lima X-ray Victor Alfa Hotel Uniform Golf Yankee Charlie Quebec November Delta Foxtrot Whiskey Zulu,663-6527,"error: invalid date ""08:00""",Khaki,Tamarra,ACTIVE
172,China,Youyun,Quebec Foxtrot Echo X-ray Charlie Alfa Bravo November Papa Lima Romeo Sierra Mike Zulu,930-0302,"error: invalid date ""08:00""",Blue,Mireielle,ACTIVE
173,Brazil,Guanhães,Whiskey Mike Victor Sierra Juliett Delta Kilo Golf Uniform India Bravo Tango Charlie Romeo X-ray Alfa Papa,867-4409,"error: invalid date ""08:00""",Puce,Wilow,ACTIVE
174,Libya,Brak,Papa Alfa Mike Quebec Charlie X-ray November Sierra Uniform Romeo Delta Tango Juliett Kilo Golf Echo Lima India,782-2709,"error: invalid date ""08:00""",Yellow,Charmaine,ACTIVE
175,Bulgaria,Gŭlŭbovo,Foxtrot Tango Victor X-ray Golf Charlie Lima Juliett Papa Romeo Uniform Echo Zulu Delta Oscar,748-2901,"error: invalid date ""08:00""",Aquamarine,Raquela,ACTIVE
176,Albania,Bicaj,Quebec Mike Romeo Uniform Tango Yankee Bravo November Oscar Charlie Hotel Victor India Juliett Whiskey Kilo,236-0821,"error: invalid date ""08:00""",Goldenrod,Cammy,ACTIVE
177,Indonesia,Cigadog Hilir,Sierra Echo Hotel Kilo Juliett Quebec Bravo Yankee Victor Mike X-ray India Charlie November Zulu Papa Golf Whiskey Oscar,655-2049,"error: invalid date ""08:00""",Violet,Fredericka,ACTIVE
178,Sweden,Knivsta,X-ray Delta Echo Mike Alfa Victor Zulu Quebec November Sierra Golf Hotel Yankee Kilo Papa Foxtrot,123-8128,"error: invalid date ""08:00""",Pink,Elonore,ACTIVE
179,Poland,Stoczek,Delta Oscar India Zulu Mike November X-ray Kilo Juliett Golf Quebec Sierra Echo Bravo Lima Hotel Papa Whiskey,356-6150,"error: invalid date ""08:00""",Violet,Juieta,ACTIVE
180,Canada,Hanna,Sierra Uniform November Zulu Kilo Whiskey Victor India Lima Golf Charlie Bravo Alfa Oscar,949-3306,"error: invalid date ""08:00""",Violet,Camille,ACTIVE
181,Botswana,Gaborone,Alfa X-ray Uniform November India Whiskey Delta Tango Bravo Quebec Zulu Foxtrot Juliett Mike Kilo Golf,544-2438,"error: invalid date ""08:00""",Red,Rosalyn,ACTIVE
182,Pakistan,Mastung,Quebec Alfa Echo Foxtrot India Whiskey Sierra X-ray Hotel Bravo Tango Papa Golf Victor Delta Kilo November Charlie Juliett Uniform,930-2392,"error: invalid date ""08:00""",Yellow,Hana,ACTIVE
183,Venezuela,Punta de Piedra,Victor Whiskey Kilo Alfa Yankee Juliett Romeo Bravo Mike India X-ray Hotel Charlie Oscar Quebec Zulu Sierra Lima,090-6629,"error: invalid date ""08:00""",Purple,Timothea,ACTIVE
184,Japan,Maebaru,Sierra Whiskey Golf Echo Quebec Mike Kilo Victor Bravo Yankee Hotel Oscar India Foxtrot,728-7428,"error: invalid date ""08:00""",Maroon,Paige,ACTIVE
185,China,Zhangbang,Bravo X-ray November Alfa Golf Papa Delta Foxtrot Charlie Quebec Juliett Oscar Uniform Yankee,735-3632,"error: invalid date ""08:00""",Teal,Freddi,ACTIVE
186,United States,Akron,Romeo Alfa Uniform Mike Tango Quebec Delta India Hotel Charlie Foxtrot Victor Zulu X-ray Papa Yankee,165-6244,"error: invalid date ""08:00""",Khaki,Lexie,ACTIVE
187,Indonesia,Kalijeruk,Charlie Bravo Papa X-ray November Quebec Whiskey Echo Zulu Victor,786-8789,"error: invalid date ""08:00""",Puce,Julita,ACTIVE
188,Macedonia,Brvenica,Charlie Foxtrot Golf Zulu Lima Whiskey Uniform Hotel Kilo Mike Papa Yankee Oscar Juliett Alfa Quebec November India Tango Sierra,717-5052,"error: invalid date ""08:00""",Blue,Anderea,ACTIVE
189,France,Annonay,Zulu November Charlie Whiskey Romeo Kilo Victor India Bravo Yankee Alfa X-ray Mike Foxtrot Uniform,492-0433,"error: invalid date ""08:00""",Pink,Alanna,ACTIVE
190,Portugal,Breia,Romeo Echo Uniform India Victor Yankee Foxtrot Lima Tango Bravo Mike Hotel Sierra Delta Golf November Quebec Zulu Juliett,779-9336,"error: invalid date ""08:00""",Aquamarine,Tiena,ACTIVE
191,Brazil,Dom Pedro,Romeo Quebec November Sierra Victor Uniform Yankee Charlie Oscar Echo Whiskey Bravo Alfa Papa Mike,769-7150,"error: invalid date ""08:00""",Aquamarine,Chrystel,ACTIVE
192,United States,Dayton,Quebec Foxtrot November Yankee Bravo Zulu Lima Kilo Whiskey Sierra Victor Mike Alfa,448-3969,"error: invalid date ""08:00""",Green,Zelma,ACTIVE
193,Paraguay,Yaguarón,Charlie India Yankee Lima Golf Victor Oscar Quebec Papa Zulu Echo Romeo Mike November Foxtrot Juliett Bravo,518-2062,"error: invalid date ""08:00""",Puce,Kelcey,ACTIVE
194,China,Guicheng,Zulu Juliett Hotel Delta Victor India Quebec Lima Whiskey Sierra November Kilo Bravo Yankee Oscar Romeo,096-7485,"error: invalid date ""08:00""",Blue,Dinah,ACTIVE
195,Indonesia,Oibioin,Delta Echo X-ray Mike Charlie Golf Quebec India Oscar Zulu Kilo Victor November Juliett Hotel Whiskey Yankee Papa Romeo,166-2778,"error: invalid date ""08:00""",Orange,Cassy,ACTIVE
196,Poland,Chodzież,Zulu Kilo November Quebec India Victor Foxtrot Hotel Delta Echo Lima Alfa Uniform Tango Whiskey Mike Golf Juliett Papa Sierra,744-6011,"error: invalid date ""08:00""",Maroon,Fidelia,ACTIVE
197,Portugal,Porto Alto,Victor Papa Sierra Oscar Alfa Quebec Mike Echo Zulu Juliett November,220-7293,"error: invalid date ""08:00""",Fuscia,Mallorie,ACTIVE
198,Brazil,Coruripe,Victor Sierra Romeo Uniform Echo Mike X-ray Alfa Charlie Foxtrot Delta Lima Juliett Yankee Zulu,211-2338,"error: invalid date ""08:00""",Yellow,Lainey,ACTIVE
199,Venezuela,Mirimire,India Delta Bravo Yankee Mike Kilo X-ray Victor Charlie Tango Lima Quebec Foxtrot Echo Whiskey Hotel November Zulu,756-7146,"error: invalid date ""08:00""",Teal,Eimile,ACTIVE
200,Malta,Santa Luċija,Charlie Lima Oscar India Sierra X-ray Tango Echo Bravo Papa Hotel Uniform Alfa November Yankee,739-6997,"error: invalid date ""08:00""",Goldenrod,Joyous,ACTIVE
201,Ukraine,Katyuzhanka,Mike Kilo Papa Juliett Zulu Hotel Tango Whiskey Victor Foxtrot Romeo Lima X-ray Uniform Quebec Delta Bravo,832-5048,"error: invalid date ""08:00""",Green,Brenn,ACTIVE
202,Portugal,Lentisqueira,Zulu Victor Kilo Juliett Foxtrot Whiskey Lima Sierra Echo Quebec Golf Romeo Oscar,811-4694,"error: invalid date ""08:00""",Red,Ermina,ACTIVE
203,Moldova,Comrat,November Tango Echo Mike Bravo India Uniform Delta Whiskey Quebec Victor Hotel Golf Alfa Lima Sierra Foxtrot,940-6278,"error: invalid date ""08:00""",Orange,Ronnica,ACTIVE
204,Portugal,Rio Meão,Tango Lima X-ray Golf India Echo Romeo Quebec Alfa Papa Foxtrot Kilo Zulu Victor Hotel Yankee Uniform Sierra Bravo Delta,616-1261,"error: invalid date ""08:00""",Blue,Sybille,ACTIVE
205,China,Laiguangying,Sierra Kilo Lima Echo Charlie India Bravo Golf Juliett Oscar Victor Alfa Zulu Quebec Hotel Delta Uniform Yankee,375-4977,"error: invalid date ""08:00""",Aquamarine,Kamila,ACTIVE
206,Brazil,Osasco,Romeo Foxtrot Oscar India Bravo Juliett Uniform Whiskey Victor November Kilo Charlie Mike Golf,796-2527,"error: invalid date ""08:00""",Green,Celinka,ACTIVE
207,Morocco,Tissa,Uniform X-ray November Foxtrot Mike Lima Echo Zulu Juliett Sierra Oscar Hotel Yankee Delta Romeo India Bravo Papa Kilo,820-2791,"error: invalid date ""08:00""",Maroon,Jenny,ACTIVE
208,Russia,Tomarovka,Uniform Foxtrot Juliett Tango Lima Hotel Alfa Mike Echo Delta,484-5900,"error: invalid date ""08:00""",Green,Karlee,ACTIVE
209,Czech Republic,Hostavice,Alfa Juliett Zulu Delta Romeo November Kilo Echo Oscar India,554-8422,"error: invalid date ""08:00""",Puce,Harriett,ACTIVE
210,Philippines,Namboongan,Alfa Papa Lima Zulu Charlie Whiskey Golf Uniform Yankee X-ray Mike Hotel Delta Foxtrot Kilo,500-3824,"error: invalid date ""08:00""",Crimson,Meg,ACTIVE
211,Portugal,Santo António da Charneca,Delta Charlie Golf Echo Hotel Sierra Victor X-ray Tango Oscar Lima Zulu Romeo Quebec Mike Yankee Bravo Whiskey,480-9134,"error: invalid date ""08:00""",Mauv,Camila,ACTIVE
212,Russia,Il’inskiy,Quebec Papa Kilo Victor Sierra Delta Oscar Tango Bravo Yankee Lima Charlie Echo Alfa,559-1095,"error: invalid date ""08:00""",Puce,Harlene,ACTIVE
213,Slovakia,Bratislava,India X-ray Delta Juliett Bravo Tango Romeo Golf Uniform Charlie Hotel Kilo Whiskey Oscar Echo,951-5288,"error: invalid date ""08:00""",Turquoise,Ansley,ACTIVE
214,Brazil,Afogados da Ingazeira,Golf Zulu Quebec November India Yankee Mike Tango Kilo Charlie Juliett Uniform,941-0566,"error: invalid date ""08:00""",Red,Mireielle,ACTIVE
215,Russia,Peterhof,Juliett Bravo November Foxtrot Mike Hotel Charlie Alfa Kilo Tango Quebec,388-8582,"error: invalid date ""08:00""",Fuscia,Vivianne,ACTIVE
216,Morocco,Larache,Echo Delta Juliett Uniform Papa Foxtrot Yankee Sierra Hotel Romeo Alfa India Oscar Quebec Zulu,583-6398,"error: invalid date ""08:00""",Red,Nixie,ACTIVE
217,Armenia,Areni,Golf Lima Bravo Oscar Foxtrot Juliett Quebec Hotel November Delta Romeo Uniform X-ray,081-5773,"error: invalid date ""08:00""",Green,Corena,ACTIVE
218,Colombia,Lérida,Kilo Hotel Zulu Romeo X-ray Sierra Echo Victor Whiskey Oscar November,340-6677,"error: invalid date ""08:00""",Goldenrod,Josee,ACTIVE
219,Brazil,Rio de Janeiro,Alfa Quebec Tango Papa Victor Charlie Zulu November Uniform Foxtrot Oscar Mike Romeo Sierra Echo Hotel Bravo Lima X-ray,351-0298,"error: invalid date ""08:00""",Turquoise,Monah,ACTIVE
220,China,Wenbi,Victor Zulu Alfa Yankee Golf November Kilo X-ray Sierra Bravo Romeo Tango Oscar Foxtrot Whiskey,034-9990,"error: invalid date ""08:00""",Indigo,Della,ACTIVE
221,United States,Pensacola,Hotel November Tango Victor Whiskey Bravo Kilo India Golf Lima Foxtrot Alfa Uniform Yankee Romeo,656-3995,"error: invalid date ""08:00""",Khaki,Barbra,ACTIVE
222,Poland,Września,Sierra Victor Charlie Foxtrot Bravo November Alfa X-ray Uniform Delta,789-5151,"error: invalid date ""08:00""",Yellow,Allyson,ACTIVE
223,Russia,Zykovo,Delta India Hotel Whiskey Romeo Lima Sierra Juliett November Papa Charlie X-ray Tango Yankee Uniform Kilo Alfa Bravo,024-0133,"error: invalid date ""08:00""",Green,Bari,ACTIVE
224,Russia,Konëvo,Sierra Alfa Echo Oscar Whiskey Golf Yankee Lima Delta Charlie,556-4489,"error: invalid date ""08:00""",Crimson,Raven,ACTIVE
225,Montenegro,Ulcinj,India Romeo Tango Charlie Uniform November Yankee Echo Sierra Hotel Golf Oscar Mike Quebec Zulu Victor Papa,140-9487,"error: invalid date ""08:00""",Puce,Meggie,ACTIVE
226,China,Xinfeng,Sierra Foxtrot Alfa Juliett Quebec Bravo Charlie Kilo Mike Lima Hotel X-ray India Tango Echo Delta Victor Golf Papa Uniform,333-3182,"error: invalid date ""08:00""",Goldenrod,Valerie,ACTIVE
227,Mexico,El Carmen,Victor Sierra Quebec Bravo India Tango Golf Lima Papa Romeo Echo November Yankee,408-2595,"error: invalid date ""08:00""",Khaki,Leodora,ACTIVE
228,Peru,Huasahuasi,Lima Victor Golf Mike Alfa India Oscar Charlie Papa Romeo,298-2360,"error: invalid date ""08:00""",Crimson,Odella,ACTIVE
229,Philippines,Santa Barbara,Kilo Delta Bravo Zulu Mike India Alfa Whiskey Uniform Lima X-ray Tango Victor Golf November Oscar Juliett Papa Hotel,827-3805,"error: invalid date ""08:00""",Aquamarine,Tabbi,ACTIVE
230,Philippines,Mabiton,Echo Kilo Tango Sierra Lima Uniform Papa November Charlie Whiskey Mike Delta Romeo X-ray Juliett,165-9834,"error: invalid date ""08:00""",Maroon,Rozina,ACTIVE
231,Ecuador,Cube,Hotel Lima Bravo Mike Victor Sierra Golf Romeo Oscar Yankee Kilo Quebec Juliett X-ray Papa Uniform Zulu Foxtrot Charlie,346-8867,"error: invalid date ""08:00""",Goldenrod,Giulietta,ACTIVE
232,United States,Flushing,Charlie Kilo X-ray Hotel Echo Bravo Oscar Sierra Alfa Romeo Tango November Delta India Foxtrot Zulu,923-2406,"error: invalid date ""08:00""",Green,Loria,ACTIVE
233,Bulgaria,Tervel,Sierra Golf Alfa Tango X-ray Kilo Papa Juliett Oscar November Lima,210-7309,"error: invalid date ""08:00""",Teal,Hyacinthia,ACTIVE
234,Gambia,Koina,Bravo Quebec Juliett Victor Tango Romeo Echo Zulu Mike Delta Golf November Lima Charlie Foxtrot Whiskey Yankee Oscar Papa,911-4922,"error: invalid date ""08:00""",Mauv,Brande,ACTIVE
235,China,Nancaicun,Zulu Quebec Tango Oscar Victor Mike Bravo Foxtrot Juliett Delta Yankee Sierra Alfa Romeo Uniform Papa,782-2783,"error: invalid date ""08:00""",Green,Jackelyn,ACTIVE
236,China,Puyang,Juliett Mike Romeo X-ray Sierra India Oscar Hotel Tango Foxtrot Victor Golf Bravo Papa Whiskey Kilo Echo,769-1223,"error: invalid date ""08:00""",Mauv,Ellie,ACTIVE
237,Portugal,Meruge,India Hotel Lima Uniform Golf X-ray Mike Alfa Charlie Romeo Foxtrot Papa Delta,859-7364,"error: invalid date ""08:00""",Indigo,Domeniga,ACTIVE
238,China,Pinghu,Whiskey X-ray Alfa Mike Echo India Bravo Charlie Victor Lima Zulu Hotel Oscar,244-3732,"error: invalid date ""08:00""",Puce,Saundra,ACTIVE
239,Poland,Gomunice,Whiskey Lima Bravo X-ray Romeo Hotel Juliett Kilo Charlie Zulu Tango Golf Alfa Foxtrot Sierra India Echo Papa Yankee Victor,605-1142,"error: invalid date ""08:00""",Puce,Lenore,ACTIVE
240,Philippines,Mabilang,Alfa Hotel Whiskey X-ray Bravo Lima Zulu Papa Romeo India Echo,481-8075,"error: invalid date ""08:00""",Maroon,Eda,ACTIVE
241,Brazil,Paranapanema,Victor Tango Zulu Papa November Lima Romeo Quebec Kilo X-ray Delta Sierra Uniform Foxtrot Mike India Bravo Oscar,422-3539,"error: invalid date ""08:00""",Yellow,Kakalina,ACTIVE
242,Venezuela,Barrancas,X-ray Foxtrot Uniform Whiskey Quebec Golf Alfa Oscar Zulu Papa Victor Juliett Yankee Romeo Echo Hotel Delta Charlie Mike,747-3836,"error: invalid date ""08:00""",Fuscia,Allix,ACTIVE
243,South Korea,Hwawŏn,Bravo Alfa X-ray Zulu Yankee Charlie Hotel Echo Lima Sierra Oscar,274-5918,"error: invalid date ""08:00""",Crimson,Madlin,ACTIVE
244,Russia,Urukh,Hotel Uniform Yankee Mike Quebec Papa X-ray Whiskey Romeo Oscar Bravo,058-7092,"error: invalid date ""08:00""",Indigo,Moll,ACTIVE
245,Colombia,La Jagua de Ibirico,Delta Oscar Hotel Zulu Kilo Uniform Juliett Charlie Sierra Quebec Mike Alfa November Papa Tango Victor Whiskey Golf X-ray,248-7572,"error: invalid date ""08:00""",Yellow,Jayme,ACTIVE
246,Indonesia,Jatiprahu,Lima India Foxtrot Quebec Bravo Sierra Charlie Juliett Kilo Uniform Papa Yankee Whiskey X-ray,293-6809,"error: invalid date ""08:00""",Indigo,Danell,ACTIVE
247,China,Linshanhe,Golf Quebec Tango Uniform India Yankee Bravo Echo November Victor X-ray Whiskey Mike Oscar Juliett Sierra,111-0969,"error: invalid date ""08:00""",Teal,Tara,ACTIVE
248,Philippines,Nato,X-ray Kilo Charlie Hotel India Lima Whiskey Bravo Quebec Oscar Uniform November,929-8922,"error: invalid date ""08:00""",Teal,Elissa,ACTIVE
249,Iran,Khalīlābād,Delta Golf Alfa Foxtrot Lima November Romeo Uniform Echo Zulu Bravo Quebec India Sierra Charlie,251-6208,"error: invalid date ""08:00""",Indigo,Madeline,ACTIVE
250,China,Baizhu,Sierra Whiskey Echo Uniform Lima Yankee India Hotel Tango Charlie Juliett Quebec Oscar Victor,099-3736,"error: invalid date ""08:00""",Violet,Saundra,ACTIVE
251,China,Tuochuan,Alfa X-ray Charlie Delta Romeo Bravo Kilo Tango Juliett Sierra Foxtrot Mike Zulu Lima Papa,218-6853,"error: invalid date ""08:00""",Puce,Lana,ACTIVE
252,Indonesia,Kaducondong,Quebec Zulu Whiskey Yankee Uniform Papa X-ray Foxtrot Alfa Charlie November Lima Echo Romeo Sierra Golf,481-7643,"error: invalid date ""08:00""",Crimson,Bunnie,ACTIVE
253,China,Duancun,Hotel Kilo Foxtrot Uniform Whiskey Papa Victor Bravo Quebec X-ray Mike Zulu Charlie Romeo Alfa India Yankee,229-3751,"error: invalid date ""08:00""",Maroon,Nell,ACTIVE
254,Brazil,Buritama,Victor Mike Hotel Golf Bravo Alfa Kilo Charlie Uniform Oscar,747-3880,"error: invalid date ""08:00""",Yellow,Tess,ACTIVE
255,Japan,Ōzu,Alfa Kilo Romeo India Echo Whiskey Victor Foxtrot X-ray Juliett Charlie Delta,286-7421,"error: invalid date ""08:00""",Puce,Britta,ACTIVE
256,Colombia,Girón,Quebec Hotel Yankee Kilo Lima November Echo Bravo Whiskey India Sierra Golf Tango Charlie Papa Victor Juliett Zulu Romeo Foxtrot,508-8818,"error: invalid date ""08:00""",Goldenrod,Kimberley,ACTIVE
257,Indonesia,Pejek,Mike Yankee Echo Hotel Whiskey November Victor Tango Uniform Golf Lima Alfa Quebec Zulu Foxtrot Sierra,972-5922,"error: invalid date ""08:00""",Teal,Reeta,ACTIVE
258,Indonesia,Balong,Oscar Alfa India X-ray Kilo Whiskey Romeo Sierra Hotel Delta Lima Uniform Mike Tango Yankee Victor Golf,101-8144,"error: invalid date ""08:00""",Yellow,Rodi,ACTIVE
259,Belarus,Krasnaye,Charlie Lima Bravo Alfa Papa Mike Golf Zulu India Sierra X-ray Tango Quebec Romeo Foxtrot Delta,519-3996,"error: invalid date ""08:00""",Maroon,Elaine,ACTIVE
260,Macedonia,Konče,Alfa Victor Romeo Whiskey X-ray Tango Charlie Hotel Mike Yankee Zulu Oscar Kilo Quebec,443-5056,"error: invalid date ""08:00""",Orange,Fawne,ACTIVE
261,Indonesia,Mandor,Lima November Yankee Papa Mike Bravo Uniform Foxtrot Victor Oscar Kilo Tango Delta Golf Alfa,472-6396,"error: invalid date ""08:00""",Orange,Bobette,ACTIVE
262,Pakistan,Dera Murād Jamāli,Whiskey Charlie India Oscar Hotel Romeo Echo Tango Bravo Uniform November,703-8959,"error: invalid date ""08:00""",Aquamarine,Torrie,ACTIVE
263,Lithuania,Virbalis,Papa Foxtrot India Delta November Zulu Kilo Whiskey Charlie Mike Oscar Golf Echo,451-8434,"error: invalid date ""08:00""",Orange,Monika,ACTIVE
264,Indonesia,Hokor,Charlie Mike Golf Kilo Alfa Quebec Delta Bravo Hotel Juliett Yankee India Echo November,039-1697,"error: invalid date ""08:00""",Blue,Eve,ACTIVE
265,China,Yuezhao,Kilo Alfa Romeo Charlie X-ray Sierra Zulu Victor Oscar Papa Lima Juliett Uniform Quebec Bravo Mike Hotel November Foxtrot Echo,179-0941,"error: invalid date ""08:00""",Turquoise,Sonya,ACTIVE
266,Russia,Novoshakhtinskiy,Zulu Alfa Victor Yankee Romeo Delta Charlie Mike Lima Papa Golf Juliett Echo X-ray Foxtrot Uniform Bravo Kilo,411-3175,"error: invalid date ""08:00""",Purple,Allina,ACTIVE
267,Indonesia,Panite,Sierra Kilo Alfa Mike Delta India Echo Bravo Victor Yankee Tango Quebec Foxtrot Juliett,214-5126,"error: invalid date ""08:00""",Pink,Leshia,ACTIVE
268,United States,Oklahoma City,Charlie Lima X-ray Kilo Sierra Victor Alfa November Quebec Romeo,797-6498,"error: invalid date ""08:00""",Yellow,Glynda,ACTIVE
269,Norway,Oslo,Charlie Romeo X-ray Victor Delta Papa Lima Yankee Quebec Tango Kilo,520-4033,"error: invalid date ""08:00""",Violet,Brandie,ACTIVE
270,Venezuela,San Simón,Kilo Alfa Victor India Romeo Foxtrot Delta Zulu Tango X-ray Mike,347-7532,"error: invalid date ""08:00""",Orange,Rochelle,ACTIVE
